"species_group_label";"prediction";"error";"grouping"
"FI";37,6541737569276;0,516872726399891;"conifer"
"TA";7,7972024041839;0,256407272426103;"conifer"
"DGL";2,84416204823979;0,148641313940045;"conifer"
"KIE";6,50871828897042;0,24019309828729;"conifer"
"LAE";1,89646865974553;0,0923020697386302;"conifer"
"sNB";0,445212707829209;0,0596218555415915;"conifer"
"BU";21,2065514011396;0,394877125787159;"deciduous"
"EI";6,91947701194286;0,231660735729548;"deciduous"
"REI";0,427773788150808;0,0542174195188222;"deciduous"
"ES";4,21173366638045;0,161229780433931;"deciduous"
"BA";2,83784794317384;0,122025049342518;"deciduous"
"HB";1,18034501600187;0,0719240232167699;"deciduous"
"sALH";1,92995628756537;0,105193197027116;"deciduous"
"BI";0,837975958160955;0,0620204258221561;"deciduous"
"ER";0,983188665990165;0,0798713826799925;"deciduous"
"PA";0,705704472718757;0,0719370996103648;"deciduous"
"sALN";1,61350792287878;0,0886195995701987;"deciduous"
